cur-name-th,faculty_name_th,lecture-position,lecture-first-name,lecture-last-name,bachelor-degree,bachelor-institute,bachelor-graduate-year,doctor-degree,doctor-institute,doctor-graduate-year
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีและนวัตกรรมดิจิทัล,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,กฤตคม,ศรีจิรานนท์,วศ.บ.,มหาวิทยาลัยเชียงใหม่,2557,ปร.ด.,มหาวิทยาลัยเชียงใหม่,2564
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีและนวัตกรรมดิจิทัล,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,ปกรณ์,แววสว่างวงศ์,วศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2542,M.Sc.,"University of York, UK",2544
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีและนวัตกรรมดิจิทัล,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,วินัย,ทองปาน,วท.บ.,มหาวิทยาลัยเชียงใหม่,2556,ปร.ด.,มหาวิทยาลัยเชียงใหม่,2563
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีและนวัตกรรมดิจิทัล,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,ศศิพร,ทองแม้น,วท.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2549,วท.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2560
"หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์
(หลักสูตรนานาชาติ)",วิทยาลัยสหวิทยาการ,รองศาสตราจารย์ ดร.,ธัชเฉลิม,สุทธิพงษ์ประชา,B.Α.,"Northern Michigan University, USA",2546,Ph.D.,"Northern Illinois University, USA",2554
"หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์
(หลักสูตรนานาชาติ)",วิทยาลัยสหวิทยาการ,อาจารย์ ดร.,Ing-Wei,Huang,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2539,Ph.D.,"Nagoya University, Japan",2547
"หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์
(หลักสูตรนานาชาติ)",วิทยาลัยสหวิทยาการ,อาจารย์ พ.ต.ต.ดร.,ชวนัสถ์,เจนการ,รป.บ.,โรงเรียนนายร้อยตำรวจ,2539,Ph.D.,"University of Kent, UK",2556
"หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์
(หลักสูตรนานาชาติ)",วิทยาลัยสหวิทยาการ,ผู้ช่วยศาสตราจารย์ ดร.,ภูรี,สิรสุนทร,B.B.A,มหาวิทยาลัยอัสสัมชัญ,2536,Ph.D.,"School of Economics, Australian National University, Australia",2548
"หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์
(หลักสูตรนานาชาติ)",วิทยาลัยสหวิทยาการ,อาจารย์,พนมกร,โยทะสอน,B.A.,"Peking University, China",2554,M.A.,"University of London, UK",2556
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโลกคดีศึกษาและการประกอบการสังคม (หลักสูตรนานาชาติ),วิทยาลัยโลกคดีศึกษา,ผู้ช่วยศาสตราจารย์,พิทักษ์ศักดิ์,ทิศาภาคย์,B.Α.,"Thammasat University, Thailand",2542,Ph.D.,"School of Oriental and African Studies, UK",2558
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโลกคดีศึกษาและการประกอบการสังคม (หลักสูตรนานาชาติ),วิทยาลัยโลกคดีศึกษา,ผู้ช่วยศาสตราจารย์,อีสวาน,ราโด,,,,Ph.D.,"University of Vienna, Austria",2558
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโลกคดีศึกษาและการประกอบการสังคม (หลักสูตรนานาชาติ),วิทยาลัยโลกคดีศึกษา,ผู้ช่วยศาสตราจารย์,เช็ค,โมหมัด อัลตาเฟอร์ รามัน,,,,Ph.D.,"Mahidol University, Thailand",2555
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโลกคดีศึกษาและการประกอบการสังคม (หลักสูตรนานาชาติ),วิทยาลัยโลกคดีศึกษา,ผู้ช่วยศาสตราจารย์,ปิยะสุดา,เพ่งสภา,B.A.,"University at Albany, State University of New York, College of Art & Sciences, U.S.A.",2535,Ph.D.,"Binghamton University, State University of New York Harpur College of Art & Sciences, U.S.A.",2544
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาโลกคดีศึกษาและการประกอบการสังคม (หลักสูตรนานาชาติ),วิทยาลัยโลกคดีศึกษา,ศาสตราจารย์,นันทวรณ,วิจิตรวาทการ,B.Sc,"University of California at Los Angeles, USA",2518,Dr.P.H.,"School of Public Health, University of California at Los Angeles, USA.",2530
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีเพื่อการพัฒนายั่งยืน,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,ธนาพล,ตันติสัตยกุล,วศ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2542,D.Eng.,"Toyama University, Japan",2548
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีเพื่อการพัฒนายั่งยืน,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,ณัฐพล,จันทร์แก้ว,ร.บ.,มหาวิทยาลัยรามคำแหง,2562,,,
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีเพื่อการพัฒนายั่งยืน,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,อมรเทพ,จิรศักดิ์จำรูญศรี,วศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2553,ปร.ด.,มหาวิทยาลัยธรรมศาสตร์,2560
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีเพื่อการพัฒนายั่งยืน,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,เยาวทัศน์,บุญกล้า,วท.บ.,สถาบันเทคโนโลยีพระจอมเกล้าฯคุณทหารลาดกระบัง,2552,Ph.D.,"Kanazawa University, Japan",2561
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีเพื่อการพัฒนายั่งยืน,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,ณัฐพล,ใจสำรวม,วศ.บ.,มหาวิทยาลัยเทคโนโลยีมหานคร,2544,ปร.ด.,มหาวิทยาลัยธรรมศาสตร์,2563
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์,สมรรถพล,ตาณพันธุ์,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2545,สถ.ม.,มหาวิทยาลัยธรรมศาสตร์,2547
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์,พฤฒิพร,ลพเกิด,สถ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2543,สถ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2550
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,อาจารย์ ดร.,กนกวรรณ,ตระกูลยิ่งเจริญ,สถ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2544,Ph.D.,"Universita degli studi di Roma, Italy",2555
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์,นิรันดร,ทองอรุณ,สถ.บ.,มหาวิทยาลัยรังสิต,2537,M.Arch.,"University of Michigan, Ann Arbor, USA",2549
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์และการผังเมือง,ผู้ช่วยศาสตราจารย์ ดร.,ชาวี,บุษยรัตน์,สถ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2545,Ph.D.,"Graduate School of Arts et MetiersParis Tech, France",2553
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,มารุต,สุขสมจิตร,วท บ.,มหาวิทยาลัยเกษตรศาสตร์,2534,Ph.D.,"Ehime University, Japan",2552
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,วิลาวัณย์,ภมรสุวรรณ,วท บ.,มหาวิทยาลัยธรรมศาสตร์,2534,ผ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2549
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,โรจน์,คุณเอนก,วท บ.,มหาวิทยาลัยธรรมศาสตร์,2537,,จุฬาลงกรณ์มหาวิทยาลัย,2540
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,ปิยานนทน์,หาพุทธา,ศ.บ.,มหาวิทยาลัยขอนแก่น,2550,Ph.D.,"มหาวิทยาลัยเทคโนโลยี
พระจอมเกล้าธนบุรี",2560
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,ธนาภา,นุ่มพิไล,วศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2555,ปร.ด.,มหาวิทยาลัยเกษตรศาสตร์,2562
"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาเทคโนโลยีพลังงานชีวภาพและการแปรรูปเคมีชีวภาพ",คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,ชนาธิป,สามารถ,วท.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณ ทหารลาดกระบัง,2543,วศ.ด.,มหาวิทยาลัยเกษตรศาสตร์,2549
"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาเทคโนโลยีพลังงานชีวภาพและการแปรรูปเคมีชีวภาพ",คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,สอาด,ริยะจันทร,วท.บ.,มหาวิทยาลัยเทคโนโลยีพระ จอมเกล้า พระนครเหนือ,2542,Ph.D.,มหาวิทยาลัยมหิดล,2549
"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาเทคโนโลยีพลังงานชีวภาพและการแปรรูปเคมีชีวภาพ",คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,สุวดี,กองพารากุล,วท.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2546,วท.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2551
"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาเทคโนโลยีพลังงานชีวภาพและการแปรรูปเคมีชีวภาพ",คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,นันทวัฒน์,วรรณฤทธิ์,วท.บ.,มหาวิทยาลัยขอนแก่น,2547,ปร.ด.,มหาวิทยาลัยขอนแก่น,2556
"หลักสูตรวิทยาศาสตรบัณฑิต
สาขาวิชาเทคโนโลยีพลังงานชีวภาพและการแปรรูปเคมีชีวภาพ",คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,นที,ศิริสิทธิ์,วท.บ.,มหาวิทยาลัยมหิดล,2549,Ph.D.,"Hokkaido University, Japan",2561
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมและการแปรรูปทางดิจิทัล,วิทยาลัยนวัตกรรม,ผู้ช่วยศาสตราจารย์,นพพล,ตั้งจิตพรหม,วท.ม.,"เทคโนโลยีพระจอมเกล้า
ธนบุรี",2549,ปร.ด.,สถาบันบัณฑิตพัฒนบริหารศาสตร์,2556
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมและการแปรรูปทางดิจิทัล,วิทยาลัยนวัตกรรม,อาจารย์,อำพล,ตังคนาวนิชย์,วศ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2538,Ph.D.,"Osaka University, Japan,",2545
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมและการแปรรูปทางดิจิทัล,วิทยาลัยนวัตกรรม,อาจารย์,ปรีชญา,ชวลิตธำรง,สถ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2549,M.P.S.,"Cornell University, USA",2552
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมและการแปรรูปทางดิจิทัล,วิทยาลัยนวัตกรรม,อาจารย์,จิรพล,ทับทิมหิน,วศ.บ.,มหาวิทยาลัยขอนแก่น,2519,M.Eng,Asian Institute of Technology,2527
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมและการแปรรูปทางดิจิทัล,วิทยาลัยนวัตกรรม,อาจารย์,พชรพร,พิจารณากุล,B.B.A.,มหาวิทยาลัยบูรพา,2555,M.B.A.,มหาวิทยาลัยบูรพา,2558
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,วนิดา,พฤทธิวิทยา,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2539,Ph.D.,"Iowa State University, USA.",2549
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,นุชชากร,งามเสาวรส,วท.บ.,มหาวิทยาลัยสงขลานครินทร์,2530,พบ.ม.,สถาบันบัณฑิตพัฒนบริหารศาสตร์,2534
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,สิริกันยา,นิลพานิช,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2533,M.Sc.,"Syracuse University, USA.",2538
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,วิลาวรรณ,รักผกาวงศ์,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2534,Ph.D.,"Loughborough University, UK",2557
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,ปกป้อง,ส่องเมือง,วศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2549,Ph.D.,"The University of Electro-Communications, Japan",2553
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,ธนาธร,ทะนานทอง,วศ.บ.,มหาวิทยาลัยเทคโนโลยีสุรนารี,2548,ปร.ด.,มหาวิทยาลัยธรรมศาสตร์,2557
หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาการบริหารจัดการศิลปะ,คณะศิลปกรรมศาสตร์,ผู้ช่วยศาสตารจารย์ ดร.,กฤษณะ,พันธ์เพ็ง,Β.Α.,"Royal Holloway and Bedford New College to the University of London, England.",2547,Ph.D.,"University of Exeter, England.",2555
หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาการบริหารจัดการศิลปะ,คณะศิลปกรรมศาสตร์,อาจารย์ ดร.,ณวดี,เศรษฐเมธีกุล,ศป.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,Ph.D.,"University of Exeter, England.",2565
หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาการบริหารจัดการศิลปะ,คณะศิลปกรรมศาสตร์,ผู้ช่วยศาสตราจารย์,ศรุพงษ์,สุดประเสริฐ,วบ.,มหาวิทยาลัยธรรมศาสตร์,2547,ศศ.ม.,มหาวิทยาลัยมหิดล,2553
หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาการบริหารจัดการศิลปะ,คณะศิลปกรรมศาสตร์,ผู้ช่วยศาสตราจารย์,สรรพจน์,มาพบสุข,ศป.บ.,มหาวิทยาลัยศิลปากร,2541,ศป.ม.,มหาวิทยาลัยศิลปากร,2546
หลักสูตรศิลปกรรมศาสตรบัณฑิต สาขาวิชาการบริหารจัดการศิลปะ,คณะศิลปกรรมศาสตร์,ผู้ช่วยศาสตราจารย์,ศิรินทร์,ใจเที่ยง,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2532,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2544
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการจัดการมรดกวัฒนธรรมและอุตสาหกรรมสร้างสรรค์,วิทยาลัยนวัตกรรม,อาจารย์,กาญจนา,เหล่าโชคชัยกุล,ศศ.บ.,มหาวิทยาลัยทักษิณ,2548,สม.ม.,มหาวิทยาลัยธรรมศาสตร์,2552
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการจัดการมรดกวัฒนธรรมและอุตสาหกรรมสร้างสรรค์,วิทยาลัยนวัตกรรม,ผู้ช่วยศาสตราจารย์,เวฬุรีย์,เมธาวีวินิจ,B.S.,Thammasat University,2542,Ph.D.,"University of London, UK",2558
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการจัดการมรดกวัฒนธรรมและอุตสาหกรรมสร้างสรรค์,วิทยาลัยนวัตกรรม,อาจารย์,พิชชากานต์,ช่วงชัย,ศศ.บ.,มหาวิทยาลัยเชียงใหม่,2556,Ph.D.,"University of Warwick, UK",2563
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการจัดการมรดกวัฒนธรรมและอุตสาหกรรมสร้างสรรค์,วิทยาลัยนวัตกรรม,ผู้ช่วยศาสตราจารย์,ระวีวรรณ,ทรัพย์อินทร์,วส.บ.,มหาวิทยาลัยธรรมศาสตร์,2545,M.A.,"Academy of Art University, USA",2554
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาการจัดการมรดกวัฒนธรรมและอุตสาหกรรมสร้างสรรค์,วิทยาลัยนวัตกรรม,อาจารย์,รัฐศาสตร์,กรสูต,ศศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2540,ปร.ด,มหาวิทยาลัยเกษตรศาสตร์,2554
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมการบริการ,วิทยาลัยนวัตกรรม,ผู้ช่วยศาสตราจารย์,กาญจน์นภา,พงศ์พนรัตน์ เชี่ยวชาญ,ร.บ.,มหาวิทยาลัยธรรมศาสตร์,2540,Ph.D.,"Asian Institute of Technology, Thailand",2550
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมการบริการ,วิทยาลัยนวัตกรรม,รองศาสตราจารย์,คม,คัมภิรานนท์,ศศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2542,Ph.D,"University of Queensland, Australia",2550
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมการบริการ,วิทยาลัยนวัตกรรม,อาจารย์ ดร.,ปุริมปรัชญ์,แสงแก้ว,B.B.A.,Mahidol University International College,2550,Ph.D,"University of Surrey, UK",2562
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมการบริการ,วิทยาลัยนวัตกรรม,ผู้ช่วยศาสตราจารย์,เวฬุรีย์,เมธาวีวินิจ,B.S.,Thammasat University,2542,Ph.D.,"University of London, UK",2558
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชานวัตกรรมการบริการ,วิทยาลัยนวัตกรรม,อาจารย์,ปรีชญา,ชวลิตธำรง,สถ.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2549,M.P.S,"Cornell University, USA",2552
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,อาจารย์,ปาณิศา,วิชุพงษ์,ศ.บ.,มหาวิทยาลัยธรรมศาสตร์,2545,Ph.D,Nagoya University,2559
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,อาจารย์,อรณิชา,เมี่ยงบัว,วท.บ.,มหาวิทยาลัยสงขลานครินทร์,2546,Ph.D.,Asian Institute of Technology,2563
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,ศาสตราจารย์,เรืองวิทย์,เกษสุวรรณ,ร.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2544,พบ.ม.,สถาบันบัณฑิตพัฒนบริหารศาสตร์,2526
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,รองศาสตราจารย์,จุฬณี,ตันติกุลานันท์,ศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2541,Ph.D.,Queensland University,2555
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,ผู้ช่วยศาสตราจารย์,ณัฐพล,แสงอรุณ,ศ.บ.,มหาวิทยาลัยศรีนครินทรวิโรฒ,2545,ปร.ด,มหาวิทยาลัยธรรมศาสตร์,2556
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,ผู้ช่วยศาสตราจารย์ ดร.,สุมิตา,สุภากรณ์,ศศ.บ.,มหาวิทยาลัยเชียงใหม่,2538,Ph.D,University of Newcastle,2560
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,อาจารย,กฤตภาศ,ศักดิษฐานนท์,ร.บ.,มหาวิทยาลัยรามคำแหง,2562,อ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2557
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,รองศาสตราจารย ดร.,รุงนภา,เทพภาพ,สส.บ,มหาวิทยาลัยธรรมศาสตร์,2545,Ph.D,Japan College of Social Work,2560
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,ผู้ช่วยศาสตราจารย์,ชวนนท์,กาญจนสุวรรณ,ศศ.บ,มหาวิทยาลัยเชียงใหม่,2553,ศศ.ม.,มหาวิทยาลัยเชียงใหม่,2558
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาปรัชญา การเมือง และเศรษฐศาสตร์,วิทยาลัยสหวิทยาการ,อาจารย,พงศยา,ภูมิพัฒน์โยธิน,สส.บ.,มหาวิทยาลัยธรรมศาสตร์,2549,รส.ม.,มหาวิทยาลัยธรรมศาสตร์,2552
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์อิเล็กทรอนิกส์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,เรวัตร,ใจสุทธิ,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2547,ปร.ด.,มหาวิทยาลัยมหิดล,2555
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์อิเล็กทรอนิกส์,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,อดิศักดิ์,ร่มพุฒตาล,วศ.บ.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2545,วศ.ด.,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2560
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์อิเล็กทรอนิกส์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,ปกรณ์,ปรีชาบูรณะ,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2543,Ph.D.,"Linkoping University, Sweden",2555
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์อิเล็กทรอนิกส์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,ปรเมศวร์,วงศ์จอม,วท.บ.,มหาวิทยาลัยขอนแก่น,2551,ปร.ด.,มหาวิทยาลัยขอนแก่น,2561
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์อิเล็กทรอนิกส์,คณะวิทยาศาสตร์และเทคโนโลยี,อาจารย์,เอกรัฐ,พงษ์โอภาส,วท.บ.,มหาวิทยาลัยมหิดล,2551,ปร.ด.,มหาวิทยาลัยมหิดล,2559
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,รองศาสตราจารย์,ชลิดาภรณ์,ส่งสัมพันธ์,ร.บ.,มหาวิทยาลัยธรรมศาสตร์,2526,Ph.D.,"The Claremont Graduate School, California, U.S.A.",2534
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,รองศาสตราจารย์,ประจักษ์,ก้องกีรติ,ร.บ.,มหาวิทยาลัยธรรมศาสตร์,2540,Ph.D.,"Australian National University, Canberra, Australia",2556
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,รองศาสตราจารย์,อรรถสิทธิ์,พานแก้ว,ร.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2543,Ph.D.,"Georgia State University, U.S.A.",2553
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,รองศาสตราจารย์,ชนินท์ทิรา,ณ ถลาง,ร.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2543,Ph.D.,"University of Bristol, UK",2550
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,รองศาสตราจารย์,สุนิดา,อรุณพิพัฒน์,ศศ.ม.,จุฬาลงกรณ์มหาวิทยาลัย,2545,Ph.D.,"University fo Tsukuba, Japan",2555
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,ผู้ช่วยศาสตราจารย์,ประพิมพ์ฝัน,เชียงกูล,B.Sc.,"National University of Singapore, Singapore.",2551,Ph.D.,"University of Warwick, UK.",2558
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,รองศาสตราจารย์,ไตรรัตน์,โภคพลากรณ์,ร.บ.,มหาวิทยาลัยธรรมศาสตร์,2523,สส.ด.,มหาวิทยาลัยธรรมศาสตร์,2548
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,รองศาสตราจารย์,สุนิสา,ช่อแก้ว,ศศ.บ.,มหาวิทยาลัยเกษตรศาสตร์,2548,ปร.ด.,สถาบันบัณฑิตพัฒนบริหารศาสตร์,2556
